GPOName,Path
DoD Adobe Acrobat Reader DC Continuous STIG Computer V2R1,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Adobe Acrobat Reader DC Continuous V2R1\GPOs
DoD Adobe Acrobat Reader DC Continuous STIG User V2R1,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Adobe Acrobat Reader DC Continuous V2R1\GPOs
DoD Adobe Acrobat Pro DC Continuous STIG Computer v2r1,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Adobe Acrobat Pro DC Continuous v2r1\GPOs
DoD Adobe Acrobat Pro DC Continuous STIG User v2r1,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Adobe Acrobat Pro DC Continuous v2r1\GPOs
DoD Google Chrome STIG Computer v2r4,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Google Chrome v2r4\GPOs
DoD Office System 2016 STIG Computer v2r1,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Office System 2016 and Components\GPOs
DoD Office System 2016 STIG User v2r1,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Office System 2016 and Components\GPOs
DoD Office 2019-Microsoft 365 Apps STIG Computer v2r3,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Office 2019-Microsoft 365 Apps v2r3\GPOs
DoD Office 2019-Microsoft 365 Apps STIG User v2r3,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Office 2019-Microsoft 365 Apps v2r3\GPOs
DoD Microsoft Edge STIG Computer v1r2,C:\Temp\July 2021 DISA STIG GPO Package 0715\DoD Microsoft Edge v1r2\GPOs
